Belgium,372.1,11351727,438484.6,30528
Bulgaria,64.8,7101859,50430.1,110910
Czech Republic,136.8,10578820,192016.6,78866
Denmark,136.4,5748769,288373.5,43094
Germany,233.1,82521653,3263350,357114
Estonia,30.3,1315635,23002.3,45226
Ireland,69.3,4784383,296151.8,70273
Greece,82.4,10768193,177735.3,131940
Spain,92.5,46528024,1163662,504645
France,105.5,66989083,2287603,675417
Croatia,74.6,4154213,48676.9,56542
Italy,203.6,60589445,1716934.7,301300
Cyprus,92.4,854802,19213.8,9251
Latvia,31,1950116,26856.6,64589
Lithuania,45.8,2847904,41857,65200
Luxembourg,225.1,590667,55377.6,2586
Hungary,107.6,9797561,123494.6,93030
Malta,1450.2,460297,11108.6,316
Netherlands,498.2,17081507,733168,41526
Austria,105.9,8772865,369217.9,83871
Poland,123.6,37972964,465651.6,312679
Portugal,113.5,10309573,193048.6,92931
Romania,84.1,19644350,187868.3,238391
Slovenia,102.5,2065895,43278.1,20273
Slovakia,111.5,5435343,84985.2,49035
Finland,18.1,5503297,223522,338145
Sweden,24.4,9995153,477857.5,449964
United Kingdom,270.5,65808573,2324293.1,244820
Iceland,3.3,338349,21192.7,103125
Liechtenstein,238.7,37810,6664.1,160
Norway,16.9,5258317,351598.9,324220
Switzerland,210.1,8419550,601016,41290
Albania,105.2,2876591,1193.2,28748
Serbia,92,7040272,36795.4,88361
Turkey,103.4,79814871,857770.5,783580
Kosovo,168.7,1816542,6654.2,10908
